"",INDA,,INDB,,JLP,,MGPPP,,NDM,,PNP,,PPP,TOTAL,TOTAL VOTES,TOTAL
"(57) ST. CATHERINE SOUTH EASTERN",0,0.0,0,0.0,"7,025 47.4",,0 0.0,,43,0.3,"7,553 50.9",,0,0.0 209,"14,830 41.85","35,437"
"(58) ST. CATHERINE NORTH CENTRAL",0,0.0,0,0.0,"5,491 43.9",,32 0.3,,0,0.0,"6,797 54.4",,0,0.0 181,"12,501 43.96","28,439"
"",INDA,,INDB,,JLP,,MGPPP,,NDM,,PNP,,PPP,TOTAL,TOTAL VOTES,TOTAL
CONSTITUENCY,VOTES,%,VOTES,%,VOTES %,,VOTES %,,VOTES,%,VOTES %,,VOTES,% REJECTS,includingREJECTS %,ELECTORS
"(59) ST. CATHERINE WEST CENTRAL",0,0.0,0,0.0,"8,393 63.1",,0 0.0,,0,0.0,"4,681 35.2",,0,0.0 229,"13,303 48.13","27,637"
"(60) ST. CATHERINE NORTH EASTERN",0,0.0,0,0.0,"5,885 50.1",,0 0.0,,0,0.0,"5,763 49.0",,0,0.0 105,"11,753 51.29","22,915"
"(61) ST. CATHERINE EASTERN",0,0.0,0,0.0,"5,553 40.8",,0 0.0,,0,0.0,"7,889 58.0",,0,0.0 171,"13,613 44.33","30,708"
"(62) ST. CATHERINE SOUTH CENTRAL",0,0.0,0,0.0,"8,283 73.0",,0 0.0,,0,0.0,"2,929 25.8",,0,0.0 132,"11,344 43.37","26,158"
"(63) ST. CATHERINE EAST CENTRAL",0,0.0,0,0.0,"6,215 51.1",,0 0.0,,0,0.0,"5,721 47.1",,0,0.0 220,"12,156 48.51","25,059"
TOTALS :,212,0.0,"1,021",0.1,"436,972 49.5",,260 0.0,,223,0.0,"433,735 49.2",,91,"0.0 9,875","882,389 48.37","1,824,412"
