POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
93 93 ROUSSEAU PRIMARY SCHOOL,53,35,,,,1,89,33.33%,267,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
94 94A NORMAN MANLEY HIGH SCHOOL,60,20,,,,1,81,31.40%,258,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
94 94B NORMAN MANLEY HIGH SCHOOL,87,21,,,,3,111,42.86%,259,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
95 95 ROUSSEAU PRIMARY SCHOOL,95,40,,,,4,139,37.27%,373,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
96 96 NORMAN MANLEY HIGH SCHOOL,36,8,,,,0,44,41.12%,107,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
97 97A NORMAN MANLEY HIGH SCHOOL,120,2,,,,0,122,57.01%,214,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
97 97B NORMAN MANLEY HIGH SCHOOL,115,3,,,,1,119,55.35%,215,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
98 98 ROUSSEAU PRIMARY SCHOOL,57,18,,,,2,77,28.31%,272,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
99 99 ROUSSEAU PRIMARY SCHOOL,80,39,,,,2,121,37.93%,319,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
100 100 ROUSSEAU PRIMARY SCHOOL,96,48,,,,2,146,36.96%,395,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
101 101 ROUSSEAU PRIMARY SCHOOL,80,23,,,,2,105,40.08%,262,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
102 102 NORMAN MANLEY HIGH SCHOOL,42,18,,,,1,61,24.80%,246,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
EPM 103 103 NORMAN MANLEY HIGH SCHOOL,179,120,,,,3,302,150.25%,201,ST. ANDREW EAST CENTRAL (7),MAXFIELD PARK (19),
,,,,,,,,,,,,
POLLING STATION LOCATION,JLP Hyde Victor Anthony,PNP Simpson Miller Portia,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1A LIFE TABERNACLE CHURCH,4,54,,,,2,60,29.85%,201,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
1 1B LIFE TABERNACLE CHURCH,4,63,,,,0,67,33.17%,202,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
2 2 PRETORIA ROAD UNITED CHURCH,3,107,,,,3,113,42.16%,268,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
3 3A PRETORIA ROAD UNITED CHURCH,4,82,,,,0,86,37.23%,231,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
3 3B PRETORIA ROAD UNITED CHURCH,4,89,,,,0,93,40.26%,231,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
4 4 LIFE TABERNACLE CHURCH,7,153,,,,0,160,47.76%,335,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
5 5A EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,7,87,,,,2,96,46.60%,206,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
5 5B EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,2,96,,,,0,98,47.34%,207,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
6 6A EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,4,111,,,,0,115,48.94%,235,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
6 6B EMMANUEL APOSTOLIC PENTECOSTAL CHURCH,3,112,,,,1,116,49.15%,236,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
7 7 WHITFIELD ALL AGE SCHOOL,3,123,,,,2,128,48.85%,262,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
8 8 WHITFIELD ALL AGE SCHOOL,2,88,,,,3,93,38.59%,241,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
9 9 WHITFIELD ALL AGE SCHOOL,2,93,,,,2,97,44.50%,218,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
10 10 WHITFIELD ALL AGE SCHOOL,7,130,,,,5,142,43.69%,325,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
11 11 WHITFIELD ALL AGE SCHOOL,8,146,,,,0,154,45.83%,336,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
12 12 WHITFIELD ALL AGE SCHOOL,5,142,,,,5,152,50.17%,303,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
13 13 WHITFIELD ALL AGE SCHOOL,3,146,,,,2,151,51.54%,293,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
14 14 WHITFIELD ALL AGE SCHOOL,4,95,,,,3,102,49.51%,206,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
15 15A WHITFIELD ALL AGE SCHOOL,1,101,,,,3,105,43.21%,243,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
15 15B WHITFIELD ALL AGE SCHOOL,1,99,,,,3,103,42.21%,244,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
16 16 WHITFIELD ALL AGE SCHOOL,6,128,,,,6,140,42.94%,326,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
17 17 WHITFIELD ALL AGE SCHOOL,10,90,,,,1,101,45.29%,223,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
18 18 WHITFIELD ALL AGE SCHOOL,5,178,,,,2,185,53.31%,347,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
19 19 WHITFIELD ALL AGE SCHOOL,5,184,,,,3,192,53.33%,360,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
20 20 JAHMONA BASIC SCHOOL,13,141,,,,4,158,44.51%,355,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
21 21 JAHMONA BASIC SCHOOL,6,95,,,,2,103,51.76%,199,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
22 22A JAHMONA BASIC SCHOOL,4,96,,,,6,106,50.48%,210,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
22 22B JAHMONA BASIC SCHOOL,6,105,,,,4,115,54.76%,210,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
23 23 JAHMONA BASIC SCHOOL,7,166,,,,5,178,47.21%,377,ST. ANDREW SOUTH WESTERN (8),WHITFIELD TOWN (20),
24 24 ST. PETER CLAVER PRIMARY SCHOOL,5,156,,,,5,166,44.39%,374,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
25 25A ST. PETER CLAVER PRIMARY SCHOOL,1,110,,,,4,115,52.75%,218,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
25 25B ST. PETER CLAVER PRIMARY SCHOOL,0,91,,,,7,98,44.95%,218,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
26 26 ST. PETER CLAVER PRIMARY SCHOOL,7,143,,,,2,152,40.64%,374,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
27 27 ST. PETER CLAVER PRIMARY SCHOOL,11,171,,,,12,194,48.62%,399,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
28 28 ST. PETER CLAVER PRIMARY SCHOOL,7,97,,,,2,106,32.72%,324,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
29 29A ST. PETER CLAVER PRIMARY SCHOOL,1,106,,,,3,110,50.46%,218,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
29 29B ST. PETER CLAVER PRIMARY SCHOOL,1,93,,,,3,97,44.50%,218,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
30 30 HAILE SELASSIE HIGH SCHOOL,2,126,,,,0,128,39.14%,327,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
31 31A Faith Early Childhood School,6,69,,,,1,76,37.62%,202,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
31 31B Faith Early Childhood School,5,69,,,,1,75,37.13%,202,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
32 32A HAILE SELASSIE HIGH SCHOOL,4,139,,,,4,147,54.65%,269,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
32 32B HAILE SELASSIE HIGH SCHOOL,3,127,,,,2,132,49.07%,269,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
33 33 FAITH EARLY CHILDHOOD SCHOOL,9,91,,,,1,101,33.44%,302,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
34 34A FAITH EARLY CHILDHOOD SCHOOL,3,71,,,,3,77,37.75%,204,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
34 34B FAITH EARLY CHILDHOOD SCHOOL,5,69,,,,2,76,37.25%,204,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
35 35 FAITH EARLY CHILDHOOD SCHOOL,14,108,,,,0,122,39.74%,307,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
EPM 36 36 HAILE SELASSIE HIGH SCHOOL,16,188,,,,11,215,159.26%,135,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
37 37 TAVARES GARDENS PRIMARY SCHOOL,0,184,,,,2,186,67.39%,276,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
38 38 TAVARES GARDENS PRIMARY SCHOOL,3,179,,,,7,189,59.81%,316,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
39 39 TAVARES GARDENS PRIMARY SCHOOL,0,216,,,,2,218,61.41%,355,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
40 40 HAILE SELASSIE HIGH SCHOOL,3,138,,,,3,144,56.47%,255,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
41 41 HAILE SELASSIE HIGH SCHOOL,2,154,,,,2,158,62.95%,251,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
42 42 HAILE SELASSIE HIGH SCHOOL,3,119,,,,1,123,56.16%,219,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
43 43A HAILE SELASSIE HIGH SCHOOL,3,137,,,,5,145,56.20%,258,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
43 43B HAILE SELASSIE HIGH SCHOOL,2,125,,,,0,127,49.03%,259,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
44 44A FAITH EARLY CHILDHOOD SCHOOL,4,98,,,,4,106,46.90%,226,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
44 44B FAITH EARLY CHILDHOOD SCHOOL,5,111,,,,7,123,54.42%,226,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
45 45 HAILE SELASSIE HIGH SCHOOL,3,90,,,,4,97,41.81%,232,ST. ANDREW SOUTH WESTERN (8),PAYNE LANDS (21),
46 46 COCKBURN GARDENS PRIMARY & JUNIOR HIGH SCHOO1L2,12,112,,,,1,125,42.81%,292,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
47 47A COCKBURN GARDENS PRIMARY & JUNIOR HIGH SCHOOL6,6,97,,,,0,103,47.47%,217,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
47 47B COCKBURN GARDENS PRIMARY & JUNIOR HIGH SCHOOL3,3,87,,,,2,92,42.40%,217,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
48 48 COCKBURN GARDENS PRIMARY & JUNIOR HIGH SCHOO1L3,13,153,,,,2,168,48.55%,346,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
49 49 COCKBURN GARDENS PRIMARY & JUNIOR HIGH SCHOOL2,2,69,,,,2,73,48.03%,152,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
50 50A COCKBURN GARDENS PRIMARY & JUNIOR HIGH SCHOOL8,8,150,,,,5,163,65.73%,248,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
50 50B COCKBURN GARDENS PRIMARY & JUNIOR HIGH SCHOOL6,6,134,,,,1,141,56.63%,249,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
51 51 ST. ANDREW SETTLEMENT (CLINIC) 2,2,98,,,,0,100,58.82%,170,ST. ANDREW SOUTH WESTERN (8),GREENWICH TOWN (22),
