CONSTITUENCY KINGSTON WESTERN (1),,,,,,,,,,
107. 109 109 NEW TESTAMENT CHURCH HALL,,0,0,108,,0,0,108,76%,143
108. 110 110 NEW TESTAMENT CHURCH HALL,,0,0,62,,1,0,63,73%,86
109. 111 111 ST. ANNES INFANT SCHOOL,,0,0,108,,1,0,109,62%,177
110. 112 112 ST. ANNES INFANT SCHOOL,,0,0,86,,1,0,87,71%,122
111. 113 113 NEW TESTAMENT CHURCH HALL,,0,0,68,,1,2,71,68%,104
112. 114 114 HALLIBETHIAN CHURCH,,0,0,60,,0,0,60,53%,114
113. 115 115 OPERATION FRIENDSHIP,,1,0,114,,0,2,117,73%,161
114. 116 116 OPERATION FRIENDSHIP,,0,0,83,,1,0,84,64%,132
CONSTITUENCY KINGSTON WESTERN (1),,,,,,,,,,
PD# PS# POLLING STATION,IND,,NDM,JLP,PNP,,BALLOTS,TOTAL,%,OFFICIAL
LOCATION,"BLACK,",,"ELLIOT,","GOLDING,","WITTER,",,REJECTS,VOTES,VOTES,VOTERS
"",ASTOR G.,,MICHAEL H.,BRUCE,JOSEPH G.,,,including,,LIST
"",,,,,,,,rejected,,
"",,,,,,,,ballots,,
ELECTORAL DIVISION:Tivoli Gardens (2),,,,,,,,,,
115. 117 117 OPERATION FRIENDSHIP,,0,0,42,,0,0,42,78%,54
116. 118 118 OPERATION FRIENDSHIP,,0,0,50,,0,0,50,70%,71
117. 119 119 OPERATION FRIENDSHIP,,0,0,79,,1,0,80,64%,125
118. 120 120 HALLIBETHIAN CHURCH,,0,0,81,,2,0,83,67%,123
119. 121 121 DENHAM TOWN HIGH SCHOOL,,1,0,85,,0,1,87,71%,123
120. 122 122 DENHAM TOWN HIGH SCHOOL,,0,0,105,,2,0,107,66%,163
121. 123 123 DENHAM TOWN HIGH SCHOOL,,0,0,91,,0,1,92,63%,146
122. 124 124 DENHAM TOWN HIGH SCHOOL,,0,0,136,,1,1,138,69%,199
123. 125 125 TIVOLI SPORTS COMPLEX,,0,0,31,,0,0,31,45%,69
124. 126 126 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,127,,0,2,129,64%,202
125. 127 127 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,85,,0,0,85,63%,136
126. 128 128 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,140,,0,0,140,65%,216
127. 129 129 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,97,,0,0,97,65%,149
128. 130 130 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,112,,0,0,112,67%,168
129. 131 131 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,155,,1,0,156,65%,240
130. 132 132 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,111,,0,1,112,74%,152
131. 133 133 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,89,,0,0,89,67%,133
132. 134 134 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,100,,0,1,101,61%,166
133. 135 135 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,172,,0,2,174,64%,272
134. 136 136 CHARLES CHIN LOY INFANT SCHOOL,,1,0,109,,1,0,111,69%,162
135. 137 137 CHARLES CHIN LOY INFANT SCHOOL,,0,0,107,,0,0,107,79%,136
136. 138 138 CHARLES CHIN LOY INFANT SCHOOL,,0,0,110,,2,1,113,64%,176
CONSTITUENCY KINGSTON WESTERN (1),,,,,,,,,,
PD# PS# POLLING STATION,IND,,NDM,JLP,PNP,,BALLOTS,TOTAL,%,OFFICIAL
LOCATION,"BLACK,",,"ELLIOT,","GOLDING,","WITTER,",,REJECTS,VOTES,VOTES,VOTERS
"",ASTOR G.,,MICHAEL H.,BRUCE,JOSEPH G.,,,including,,LIST
"",,,,,,,,rejected,,
"",,,,,,,,ballots,,
ELECTORAL DIVISION:Tivoli Gardens (2),,,,,,,,,,
137. 139 139 CHARLES CHIN LOY INFANT SCHOOL,,0,0,99,0,,0,99,71%,139
138. 140 140 CHARLES CHIN LOY INFANT SCHOOL,,0,0,73,0,,0,73,65%,113
139. 141 141 EBENEZER BASIC SCHOOL,,0,0,147,0,,1,148,64%,232
140. 142 142 EBENEZER BASIC SCHOOL,,0,0,49,0,,0,49,68%,72
141. 143 143 EBENEZER BASIC SCHOOL,,0,0,156,0,,0,156,74%,212
142. 144 144 EBENEZER BASIC SCHOOL,,0,0,165,0,,0,165,70%,235
143. 149 149 NEW COAL YARD,,0,0,54,0,,0,54,70%,77
144. 151 151 KINGSTON PARISH CHURCH HALL,,0,0,0,1,,0,1,13%,8
145. 152 152 KINGSTON PARISH CHURCH HALL,,0,0,0,4,,0,4,17%,23
146. 153 153 KINGSTON PARISH CHURCH HALL,,0,0,1,26,,0,27,30%,90
147. 154 154 KINGSTON PARISH CHURCH HALL,,0,0,8,6,,0,14,13%,111
148. 155 155 KINGSTON PARISH CHURCH HALL,,0,0,5,4,,0,9,19%,48
149. 156 156 KINGSTON PARISH CHURCH HALL,,0,0,2,0,,0,2,17%,12
150. 158 158 KINGSTON PARISH CHURCH HALL,,1,1,20,18,,1,41,28%,148
151. 161 161 TIVOLI COMPREHENSIVE HIGH SCHOOL,,0,0,259,0,,2,261,65%,401
152. 162 162 TIVOLI SPORTS COMPLEX,,0,0,138,0,,1,139,66%,211
ELECTORAL DIVISION TOTALS,,4,2,"4,758",601,,29,"5,394",56%,"9,134"
